StopID	Name	StopAreaNumber	WGS84 Lat	WGS 84 Long	Zone	Type	Added	Changed	SiteID	Name		
5226	Södertälje hamn	5221	59.1789721395906	17.6463628503415	C	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9521	Södertälje hamn		
5224	Södertälje hamn	5221	59.1791361130099	17.6461967254651	C	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9521	Södertälje hamn		
5225	Södertälje hamn	5221	59.1791453326428	17.6461797271071	C	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9521	Södertälje hamn		
75058	Ekensbergs Ind Omr	75057	59.2048778892161	17.652588547768	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7624	Ekensbergs ind omr		
75059	Ekensbergsgatan	75059	59.2032514336621	17.639353565029	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7605	Ekensbergsgatan		
63813	Hårnacka vägskäl	63813	59.7754035775225	18.7535843576808	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6733	Hårnacka vägskäl		
75052	Bockholmssättra	75051	59.2732487744493	17.6305367716227	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7456	Bockholmssättra		
75050	Högantorp	75050	59.2578303409444	17.6068129504824	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7455	Högantorp		
63812	Långgarn	63811	59.7719916245773	18.7427040693234	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6732	Långgarn		
75056	Annalundsvägen	75056	59.217208605379	17.6371597794473	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7615	Ritorp (Annalundsvägen)		
75057	Ekensbergs Ind Omr	75057	59.2049017951437	17.6521696680406	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7624	Ekensbergs ind omr		
