StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;;;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;One
2242;2241;2242;Bergshamra;59.3807188543491;18.0375024887005;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421644;Bergshamra T-bana;59.381507892964;18.036516145507;1
2252;2251;2252;Danderyds sjukhus;59.3907288435254;18.0418399519207;A1;METROSTN;2008-07-14 11:31:30.320;2008-08-18 00:00:00.000;7410232;Danderyd sjukhus T-bana;59.391904143053;18.04137181006;1
2302;2301;2302;Mörby centrum;59.3982038728823;18.0368913403652;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7445596;Mörby centrum E18;59.398126910364;18.037185839176;1
2512;2511;2512;Mariatorget;59.317014373977;18.0621173620196;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421656;Mariatorget T-bana;59.316957734291;18.063308364667;1
2522;2521;2522;Zinkensdamm;59.3177046139674;18.0497079570259;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421657;Zinkensdamm T-bana;59.31777769239;18.050152163533;1
2532;2531;2532;Hornstull;59.3159298212199;18.0353974885617;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421658;Hornstull T-bana;59.315836534666;18.03402143204;1
2604;2601;2604;Liljeholmen;59.310646897032;18.022932853809;A2;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7404046;Liljeholmen T-bana;59.310706308603;18.023130128739;1
2612;2611;2612;Aspudden;59.3063624537566;18.0017913713637;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421720;Aspudden T-bana;59.306449004454;18.001445939037;1
2622;2621;2622;Örnsberg;59.3054259984749;17.9891225410984;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421721;Örnsberg T-bana;59.305532370252;17.989199810711;1
2632;2631;2632;Axelsberg;59.3043790896045;17.9754640680675;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421722;Axelsberg T-bana;59.304415461608;17.975431474213;1
2642;2641;2642;Mälarhöjden;59.3012171041022;17.957669385878;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421723;Mälarhöjden T-bana;59.300918106941;17.957281992531;1
2652;2651;2652;Bredäng;59.2948020263878;17.9360405655664;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421724;Bredäng T-bana;59.294838341382;17.93381359358;1
2702;2701;2702;Sätra;59.2850250900452;17.9210564652187;A2;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421725;Sätra T-bana;59.284983988839;17.921370016565;1
2712;2711;2712;Skärholmen;59.276991027195;17.9070306058433;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421726;Skärholmen T-bana;59.277143999969;17.907005149038;1
2722;2721;2722;Vårberg;59.2759587823708;17.8902468005146;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421727;Vårberg T-bana;59.27593318054;17.89015772082;1
2732;2731;2732;Vårby gård;59.2643929911593;17.8846468763025;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421728;Vårby Gård T-bana;59.264612392837;17.884397368848;1
2742;2741;2742;Masmo;59.2499079365209;17.8813454805404;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421729;Masmo T-bana;59.249681551145;17.880332647642;1
2752;2751;2752;Fittja;59.2474643058385;17.8610549460273;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421730;Fittja T-bana;59.247465595997;17.860967582408;1
2762;2761;2762;Alby;59.239387137242;17.8453740463867;A2;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421731;Alby T-bana;59.239495519619;17.845328149431;1
2772;2771;2772;Hallunda;59.243328796197;17.825242255855;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421732;Hallunda T-bana;59.243269169298;17.825607018417;1
2781;2781;2781;Norsborg;59.2437394272978;17.8155385869168;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7469194;Sankt Albans väg;59.243431023752;17.815152565179;1
2812;2811;2812;Midsommarkransen;59.3018796329;18.012002544268;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421715;Midsommarkransen T-bana;59.301852036025;18.012036084125;1
2822;2821;2822;Telefonplan;59.2982563614082;17.9973712903157;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421716;Telefonplan T-bana;59.298321419291;17.997235229247;1
2832;2831;2832;Hägerstensåsen;59.2951788775879;17.9784595232951;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421717;Hägerstensåsen T-bana;59.295571322578;17.979151857298;1
2842;2841;2842;Västertorp;59.2913602996658;17.9667187843328;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421718;Västertorp T-bana;59.291379020025;17.966667521084;1
2851;2851;2851;Fruängen;59.2867578386295;17.9648474589524;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421719;Fruängen T-bana;59.285928996301;17.965005778224;1
3031;3031;3031;Kungsträdgården;59.3307821797269;18.0728892526942;A;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421659;Kungsträdgården T-bana;59.330784032374;18.073293789425;1
3052;1051;3052;T-Centralen;59.3323449133758;18.0620091038581;A;METROSTN;2009-03-04 18:14:23.857;2009-03-16 00:00:00.000;7424382;Stockholm Sergels Torg;59.332461884398;18.062509166282;1
3132;3131;3132;Rådhuset;59.3298558692454;18.0449208206537;A;METROSTN;2009-06-18 16:47:26.160;2009-06-19 00:00:00.000;7446080;Kungsholmstorg;59.329282542721;18.043266579235;1
3152;1151;3152;Fridhemsplan;59.3329254596644;18.0308519497143;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717;1
3162;3161;3162;Stadshagen;59.3374214633517;18.0157132213507;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421662;Stadshagen T-bana;59.336963123377;18.017318312006;1
3204;3201;3204;Västra skogen;59.3479729722111;18.0034757023828;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421669;Västra Skogen T-bana;59.347479324979;18.003989060577;1
3212;3211;3212;Solna centrum;59.359588242095;17.9984048613809;A1;METROSTN;2010-05-10 18:14:48.570;2010-05-17 00:00:00.000;7421642;Solna centrum T-bana;59.358860214152;17.998973694064;1
3222;3221;3222;Näckrosen;59.3673023283847;17.9817499464488;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421668;Näckrosen T-bana;59.366737931259;17.983279715327;1
3232;3231;3232;Hallonbergen;59.3741975713795;17.9693993326107;A1;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421675;Hallonbergen T-bana;59.375448693055;17.96921528203;1
3252;3251;3252;Kista;59.4029412128193;17.9426847964044;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7412883;Kista T-bana;59.402864420607;17.942433620903;1
3262;3261;3262;Husby;59.4097083764743;17.9269236406905;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421676;Husby T-bana;59.410258969146;17.925637197649;1
3272;3271;3272;Akalla;59.4140350627571;17.9175933082452;A1;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421677;Akalla T-bana;59.414812857484;17.912797350571;1
3412;3411;3412;Huvudsta;59.3497424817324;17.986868237458;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7445581;Huvudsta allé;59.349200800403;17.986499623909;1
3422;3421;3422;Vreten;59.3543607460881;17.9737817776915;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421671;Vreten T-bana;59.354186716541;17.973981916758;1
3432;3431;3432;Sundbybergs centrum;59.3604973242765;17.9730299115308;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421672;Sundbyberg centrum T-bana;59.360896958382;17.972211328269;1
