0;0;0;0;0;0;0;0;0;0;0;0;0;
10212;Historiska museet;10092;59,3345924107;18,0922659273;A;BUSTERM;0,0007371744;7445989;Historiska museet;59,3346770059;18,0915336228;1103;0
10091;Grevgatan;10090;59,3352288204;18,0851550834;A;BUSTERM;0,0010230511;7445988;Grevgatan;59,3357249377;18,0860497907;1104;1
10090;Grevgatan;10090;59,3362209274;18,0869616731;A;BUSTERM;0,001038044;7445988;Grevgatan;59,3357249377;18,0860497907;1104;0
10298;Nybroplan;10298;59,332821451;18,0764522793;A;BUSTERM;0,0001352929;7419408;Stockholm Nybroplan;59,332729828;18,0765518252;1105;1
4304;Nybroplan;4305;59,33284306;18,0762428197;A;TRAMSTN;0,0003290986;7419408;Stockholm Nybroplan;59,332729828;18,0765518252;1105;0
4305;Nybroplan;4305;59,3326161695;18,0768955305;A;TRAMSTN;0,0003620105;7419408;Stockholm Nybroplan;59,332729828;18,0765518252;1105;0
10299;Nybroplan;10298;59,3328695541;18,0772990973;A;BUSTERM;0,000760223;7419408;Stockholm Nybroplan;59,332729828;18,0765518252;1105;0
10913;Nybroplan;10298;59,3329131777;18,0773723104;A;BUSTERM;0,0008407217;7419408;Stockholm Nybroplan;59,332729828;18,0765518252;1105;0
10914;Nybroplan;10298;59,3329397802;18,0773916617;A;BUSTERM;0,0008656819;7419408;Stockholm Nybroplan;59,332729828;18,0765518252;1105;0
10089;Sibyllegatan;10088;59,3365579364;18,0815529438;A;BUSTERM;0,0003920247;7445987;Sibyllegatan;59,3369450626;18,0814911648;1106;1
10088;Sibyllegatan;10088;59,3373407311;18,0814646911;A;BUSTERM;0,0003965532;7445987;Sibyllegatan;59,3369450626;18,0814911648;1106;0
10302;Styrmansgatan;10302;59,3317407993;18,0838317931;A;BUSTERM;0,000813515;7446065;Stockholm Styrmansgatan;59,3315830783;18,0846298724;1107;1
4306;Styrmansgatan;4307;59,3316696574;18,0837918809;A;TRAMSTN;0,0008424522;7446065;Stockholm Styrmansgatan;59,3315830783;18,0846298724;1107;0
